kode,advt_median,advt_mean,rasio_mean_median,market_cap,harga_median,volume_median,turnover_bps,amihud_per_miliar,volatilitas_tahunan,rentang_harian_relatif,max_drawdown,beta_ihsg,pct_hari_volume_nol,pct_hari_harga_stagnan,umur_listing_tahun,jumlah_hari_bursa,sektor_Basic Materials,sektor_Consumer Cyclicals,sektor_Consumer Non-Cyclicals,sektor_Energy,sektor_Financials,sektor_Healthcare,sektor_Industrials,sektor_Infrastructure,sektor_Properties & Real Estate,sektor_Technology,sektor_Tidak Diketahui,sektor_Transportation & Logistics,kelas_likuiditas,kelas_kode
GIAA,0.4528926964441366,0.46779848341153935,-0.2339719442023529,0.8080925782707652,-0.8797558691457114,0.935491680097318,-0.36130806504111646,-0.6170212681133326,0.17442427435165522,-1.1975060047172823,-1.111596569820951,0.4753843476784842,-0.32283005143960714,0.10873230330997946,-0.006230694427905451,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Menengah,1
WIFI,1.348514984865716,1.6682993091685356,-0.34088184470011285,0.3917432676716278,0.8389210286074542,1.393774217894256,3.101262255437791,-0.6379519565453085,1.5612327556207082,1.3463861395908778,0.003376095442606785,1.0787603841636302,-0.24846980502050142,-0.9538277669613147,-0.8425754434860045,0.0,0,0,0,0,0,0,0,0,0,1,0,0,Likuid,2
JAYA,-0.15637791011467836,-0.2845664692442342,0.06915906302961283,-1.2493462268712219,-0.5852664843241246,-0.005434555333402364,0.36018702086881643,-0.3882253372968525,-0.22901324496240025,-0.17540652719991673,0.3660293256066714,-0.1732743504759533,-0.32283005143960714,0.06786460829954517,-0.6855001692861732,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Tidak Likuid,0
TRIN,-0.10676738679732305,-0.22560874536974226,0.03537229388004793,-0.3324759110797797,-0.48903626941268336,0.04164978894746595,-0.5284252794740608,-0.31688085560115004,0.11140632031357083,0.7344619514819527,-0.5767084001199114,-0.19539045440626396,-0.32283005143960714,-0.6064523593726222,-0.7614893874831417,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Menengah,1
ERAA,1.0994358283393653,1.160292815849053,-0.8396525136112818,0.9298537331863811,0.34677119797469186,1.1752302220969413,1.4230010654096674,-0.6372617428753595,-0.043706595855551485,0.09197698056726644,0.28828123922571075,1.8274155326259196,-0.32283005143960714,-0.9129600719508804,-0.07712307481897981,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Likuid,2
KMDS,0.06666242979838337,0.062330053848528834,0.21680356385921087,-0.352837108238571,0.555201482925059,-0.21077810423047807,-0.12941033493136492,-0.44296919319006056,0.25812885344348274,0.509825258800238,-0.11994236731068442,0.4303880417310696,-0.32283005143960714,-0.7290554444039256,-0.8161645566736435,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
SMDR,0.7984155936740179,0.8121641689405079,-0.6518822254314149,0.7545108241000736,0.10681366162644253,0.9093869230119357,0.6535213013113751,-0.6344498318058418,-0.34578460334698424,-0.1441215174970568,-0.3230137206071999,1.0256106051157796,-0.32283005143960714,-0.9333939194560975,0.9758372809896243,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Likuid,2
HOPE,-0.46831453195968586,-0.4277831710451141,1.1972029562346906,-1.2525517875854433,-1.185175053856071,-0.13028207678445164,-0.47872636422416864,1.427161462023376,0.9413839999099356,-0.9786251917795801,-0.8011259660489713,-0.3516675119729742,-0.27325655382687003,0.29263693085693426,-0.8761682381157619,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Menengah,1
TRJA,-0.2136014774344993,-0.49117089806645464,-0.37357484570889204,-0.6565954084790047,-0.22368695786264603,-0.22905021803310704,-0.4909621588957756,-0.14126321911454542,-0.5708770892337562,-0.09277146207224495,-0.0639612459451726,-0.024814977227872227,-0.32283005143960714,-0.7903569869195771,-0.8136161377706963,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Tidak Likuid,0
RODA,-0.889256972459989,-1.3374216962135057,-0.08989262570442373,-0.37116566289861075,-1.2025912562469385,-0.6474670594153353,-1.118349015026276,3.327891781670232,0.5290224841488234,-0.8824241009224848,-0.2610147931517739,-0.4534883670445661,-0.09974931218228997,0.7626154234769299,0.7812307465827536,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0
TGRA,-0.5036772857503025,-0.8022448296440791,-0.07363440026968979,-1.220055611991181,-1.2978924938241432,-0.133291207146471,-0.5920597771715387,0.9285883459472466,0.5898595285286182,-0.9567506863377108,-1.3259375470920318,-0.7715025206405574,0.3959856639450815,0.7626154234769299,-0.5358384773494607,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Tidak Likuid,0
FAPA,-0.13645904778612858,-0.6349960005492785,-1.0795437059077537,1.4349202664153118,1.9069360365862829,-1.0466874899035044,-1.1220539886170176,-0.583091563359619,-1.9770376945215566,-1.7697715098618076,1.8233441192228879,-1.0961386410587548,-0.32283005143960714,1.1712923735812737,-0.8437338157146168,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0
