kode,advt_median,advt_mean,rasio_mean_median,market_cap,harga_median,volume_median,turnover_bps,amihud_per_miliar,volatilitas_tahunan,rentang_harian_relatif,max_drawdown,beta_ihsg,pct_hari_volume_nol,pct_hari_harga_stagnan,umur_listing_tahun,jumlah_hari_bursa,sektor_Basic Materials,sektor_Consumer Cyclicals,sektor_Consumer Non-Cyclicals,sektor_Energy,sektor_Financials,sektor_Healthcare,sektor_Industrials,sektor_Infrastructure,sektor_Properties & Real Estate,sektor_Technology,sektor_Tidak Diketahui,sektor_Transportation & Logistics,kelas_likuiditas,kelas_kode,bagian
MSIE,-0.11951424705296335,-0.4560966383631789,-0.6347694235164411,-1.7869974002580162,-1.6129338287608015,0.46375949176151393,1.2121495352078546,0.16654991196489025,1.0017636875281883,1.8819658384859577,0.10847286978949731,-0.2121319395798635,-0.33067839903793445,0.24923392449848472,-1.065282045279134,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Tidak Likuid,0,train
CTTH,-1.2175578075256646,-1.455693929684683,1.4070649222127531,-1.6643605418024336,-1.3629180394866476,-1.027057791100143,-1.092627452659468,4.05761523416701,-0.0700072059501704,-1.2676068671267848,0.8724756092749506,-1.408964180981358,0.34901165935915657,1.469680636175057,1.2331685114469084,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Menengah,1,train
SAMF,-0.13078444983117232,-0.327694843914013,-0.1550429458289985,0.30699894876137557,0.25491199088028604,-0.3444363278533359,-0.9847780820587299,-0.32349284449478527,-0.22124604632189124,-0.18217650259032933,-0.2521928236441404,-0.45059898157048384,-0.33067839903793445,-0.23094183091524859,-0.7803846987690973,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,train
BKSW,0.013512121597953185,0.14672936605185005,0.9168768903179556,0.35992170376588384,-0.8503276804435258,0.31644010570352016,-0.8648770944965773,-0.27891421315818915,0.26573740139574303,0.2814011162230073,-0.3946301577693327,0.17146028922426249,-0.33067839903793445,0.26924124764072355,0.6917010199543201,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Tidak Likuid,0,train
TOTL,0.5876806522122227,0.5208141957482759,-0.6628021191210716,0.39168486961555876,0.6136116220825124,0.4252891389922455,0.47597003896064,-0.637645190811014,-0.3150671543043213,-0.20890308099711152,0.03039032973406665,1.0819048795575261,-0.33067839903793445,-0.7111175863289817,0.3801018031519816,0.0,0,0,0,0,0,0,0,1,0,0,0,0,Menengah,1,train
MCAS,0.13456740251119859,0.09673230238004833,0.04369239517434387,0.028138661842178187,0.9923934458986278,-0.3116664879011247,-0.4186779630680116,-0.32841323634622555,0.2607495487149058,0.8049525119223955,-0.13786340990313037,0.9909804266866923,-0.33067839903793445,-0.851168848324654,-0.5758251533124205,0.0,0,0,0,0,0,0,0,0,0,1,0,0,Tidak Likuid,0,train
MDRN,-0.47472629345321155,-0.9201233744843162,-0.5369163161384126,-1.4170540498204336,-2.040338643541113,0.2506917453380121,-0.4175972844528613,2.10997365753534,2.3036122527509506,2.1761390919791603,-0.0495966625178379,-0.50598936337923,-0.33067839903793445,1.209585435325951,1.6543614915359113,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Tidak Likuid,0,train
PICO,0.12648515544121897,0.2111149055605319,0.5325258700676577,-1.2872800093346257,-0.4229228656632138,0.29026217130098014,1.4221463012130744,-0.4848862162330241,0.9998468205612497,1.3815029991161716,-0.7484303842976352,0.5346189086116186,-0.33067839903793445,-0.511044354906593,1.214128916977615,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,train
WIFI,1.317235344933879,1.6401167791346591,-0.33387699062291476,0.3860635206603212,0.8332648567131905,1.3687124497637861,3.015496148690253,-0.6480231792187942,1.5581760656045693,1.3400497574901185,-0.009322241451026234,1.0809421732929918,-0.26036563437616644,-0.9512054640358484,-0.8440048071177119,0.0,0,0,0,0,0,0,0,0,0,1,0,0,Likuid,2,train
SMDR,0.7877484447399641,0.8050765627570515,-0.6466815079277026,0.7483805230338623,0.10307527828561233,0.8981723612325525,0.6619131098992107,-0.6444030574170672,-0.33585413432528816,-0.13349997269887992,-0.33223185887171425,1.027930172919326,-0.33067839903793445,-0.9311981408936095,0.9784558878759955,0.0,0,0,0,0,0,0,0,0,0,0,0,1,Likuid,2,train
BBNI,1.5797816689633346,1.8408395473088792,-1.0272682885142306,2.466568641224321,1.7952331386672142,1.247901992259907,1.0628053801216542,-0.6484635167419847,-0.6078744390739143,-0.6760680769919428,0.16410249060152082,1.802100741403188,-0.33067839903793445,-1.1312713723159984,1.199500935860963,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Likuid,2,train
SBMA,0.009005547297124081,-0.2848888782549306,-0.6592006485386259,-1.053643577026899,-0.4279157253858985,0.13285462231594022,0.5947902562681849,-0.5174511074951278,-0.9078923685421795,-0.5359519116991809,0.9749280839185938,-0.34966990021665034,-0.33067839903793445,0.009146046791618206,-0.9025167315843209,0.0,1,0,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,train
FOOD,-0.6172944686337876,-0.8294059846450794,0.5187547773803681,-1.2508000402461819,-0.4587528912033101,-0.6502068087767663,-0.8035063941363042,2.2979000696038083,-1.0959320178751173,-0.8154106818232847,1.0568900636335083,-0.8481533663508307,-0.3072408108173451,0.12918998564505146,-0.6763634997173479,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,train
BPII,0.03255812411438444,-0.2902035160662445,-0.7723648643800235,0.8251111467210005,0.4854356606821152,-0.24479374190431116,-1.0243521267200806,1.4745828970922825,-1.5252602281554315,-1.3359177750133775,1.5397206350450048,-1.2106234601712136,0.513074776903282,1.3496366973216234,-0.2944106594492057,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Tidak Likuid,0,train
ASRI,0.8352942773019446,0.9580390475061481,-0.3679934344389045,0.484910835506275,-0.34370122826351296,1.1620043671472762,1.2909727452063193,-0.6442100520872758,0.2040719747499071,0.32543620147049657,-1.299673269162107,2.202577098178908,-0.33067839903793445,-0.9111908177513708,0.26145262298358013,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Menengah,1,train
TIFA,-3.704722645196996,-1.5223906895787203,-0.25419582786364636,0.34122914147892036,0.5240902451407582,-3.3445430114360235,-1.1427857309006497,2.5834037053636214,-0.8935556271084992,-1.5664436654898237,0.2626633951690451,-1.4768940347034303,3.1146470693886994,2.410024823860285,-0.039930226054747366,0.0,0,0,0,0,1,0,0,0,0,0,0,0,Tidak Likuid,0,train
